D.I.G.O.S.;1^ e 2^ Sezione
D.I.G.O.S.;
D.I.G.O.S.;3^ Sezione
SQUADRA MOBILE;Affari Generali
SQUADRA MOBILE;1^ Sezione
SQUADRA MOBILE;2^ Sezione
SQUADRA MOBILE;3^ Sezione
SQUADRA MOBILE;4^ Sezione
SQUADRA MOBILE;5^ Sezione
SQUADRA MOBILE;6^ Sezione
DIREZIONE CENTRALE ANTICRIMINE S.I.S.C.O.;
UFFICIO PREVENZIONE GENERALE;REPARTO ARTIFICIERI
UFFICIO PREVENZIONE GENERALE;REPARTO A CAVALLO
UFFICIO PREVENZIONE GENERALE; REPARTO CINOFILI
UFFICIO PREVENZIONE GENERALE;REPARTO CINOFILI
UFFICIO PREVENZIONE GENERALE;REPARTO TIRATORI SCELTI
UFFICIO PREVENZIONE GENERALE;PEGASO
UFFICIO PREVENZIONE GENERALE;VOLANTI
UFFICIO PREVENZIONE GENERALE;
U.T.L.P.;1^ Sezione - Affari Generali
U.T.L.P.;3^ Sezione - Accasermamento
U.T.L.P.;4^ Sezione - Informatica & Telecomunicazioni
U.T.L.P.;6^ Sezione - V.E.C.A.
U.T.L.P.;SCUOLA GUIDA
U.T.L.P.;AUTOMEZZI PER TRASPORTO PERSONALE
DIVISIONE GABINETTO;4 sez. - PREFETTURA
DIVISIONE GABINETTO;4 sez. - PREFETTURA - UFFICIO ELETTORALE
DIVISIONE GABINETTO;RAPPRESENTANZA QUESTURA - A disposizione Signor Questore
DIVISIONE GABINETTO;A disposizione Signor Vicario
DIVISIONE GABINETTO;
DIVISIONE GABINETTO;A disposizione Signor Capo di Gabinetto
DIVISIONE GABINETTO;SEZIONE 2^ - SICUREZZA PERSONALE
DIVISIONE GABINETTO;SEZIONE 2^ - NUCLEO PENTITI
DIVISIONE GABINETTO;SEZIONE 2^ - SERVIZI
GABINETTO INTERREGIONALE POLIZIA SCIENTIFICA;
DIREZIONE INVESTIGATIVA ANTIMAFIA;
NUCLEO OPERATIVO DI PROTEZIONE;
DIVISIONE POLIZIA ANTICRIMINE;
DIVISIONE POLIZIA AMMINISTRATIVA E SOCIALE;
UFFICIO IMMIGRAZIONE;
COMPARTIMENTO POLIZIA POSTALE E DELLE COMUNICAZIONI;
U.T.L.P.;5^ Sezione - Motorizzazione
1^ ZONA POLIZIA FRONTIERA;
UFFICIO SANITARIO QUESTURA;
UFFICIO DEL PERSONALE;
UFFICIO AMMINISTRATIVO CONTABILE;
SEZIONE POLIZIA GIUDIZIARIA C/O TRIBUNALE;
SEZIONE POLIZIA GIUDIZIARIA C/O TRIBUNALE MINORI;
SEZIONE POLIZIA GIUDIZIARIA C/O TRIBUNALE IVREA;
ZONA TELECOMUNICAZIONI;
COMMISSARIATO P.S. RIVOLI;
COMMISSARIATO P.S. IVREA E BANCHETTE;
UFFICIO POLIZIA FRONTIERA C/O LO SCALO AEREO CASELLE;
UFFICIO POLIZIA FRONTIERA C/O LO SCALO AEREO CASELLE;Caselle - Reparto Artificieri
UFFICIO POLIZIA FRONTIERA C/O LO SCALO AEREO CASELLE;Caselle - Reparto Cinofili
SETTORE POLIZIA FRONTIERA C/O BARDONECCHIA;
COMMISSARIATO P.S. BARDONECCHIA;
COMPARTIMENTO POLIZIA FERROVIARIA;
COMMISSARIATO P.S. CENTRO;
COMMISSARIATO P.S. DORA VANCHIGLIA;
COMMISSARIATO P.S. MADONNA CAMPAGNA;
COMMISSARIATO P.S. BARRIERA NIZZA;
COMMISSARIATO P.S. BARRIERA MILANO;
COMMISSARIATO P.S. SAN DONATO;
COMMISSARIATO P.S. SAN PAOLO;
COMMISSARIATO P.S. SAN SECONDO;
COMMISSARIATO P.S. MIRAFIORI;
U.P.G. - REPARTO TIRATORI SCELTI;REPARTO TIRATORI SCELTI
COMMISSARIATO P.S. BORGO PO;
REPARTO PREVENZIONE CRIMINE;
AUTOVETTURE DI RISERVA;
SQUADRA INTERVENTO OPERATIVO;
QUESTURA DI NOVARA;Squadra Mobile
AUTOCENTRO;Zona Telecomunicazioni
AUTOCENTRO;Ufficio di Gabinetto - Cappellano della Polizia di Stato
AUTOCENTRO;U.P.G. - Reparto Cinofili
