01 - RAPPRESENTANZA MINISTERO;01; RAPPRESENTANZA MINISTERO
02 - SERVIZI DI RAPPRESENTANZA;02; SERVIZI DI RAPPRESENTANZA
03 - RAPPRESENTANZA QUESTURA;03; RAPPRESENTANZA QUESTURA
04 - RAPPRESENTANZA COMANDI MILITARI;04; RAPPRESENTANZA COMANDI MILITARI
05 - SERVIZIO ELETTORALE;05; SERVIZIO ELETTORALE
06 - SERVIZI INFO-INVESTIGATIVO;06; SERVIZI INFO-INVESTIGATIVO
07 - SERVIZIO CONTROLLO DEL TERRITORIO;07; SERVIZIO CONTROLLO DEL TERRITORIO
08 - SERVIZIO PERLUSTRAZIONE RICOGNIZIONE;08; SERVIZIO PERLUSTRAZIONE RICOGNIZIONE
09 - SERVIZIO ORDINE PUBBLICO;09; SERVIZIO ORDINE PUBBLICO
10 - SERVIZIO SANITARIO E DI SOCCORSO;10; SERVIZIO SANITARIO E DI SOCCORSO
11 - SERVIZIO P.A.C. SQUADRIGLIA;11; SERVIZIO P.A.C. SQUADRIGLIA
12 - SERVIZIO ANTI ABIGEATO;12; SERVIZIO ANTI ABIGEATO
13 - SERVIZIO DI COMPETENZA;13; SERVIZIO DI COMPETENZA
14 - SERVIZIO CONTROLLI E ISPEZIONI;14; SERVIZIO CONTROLLI E ISPEZIONI
15 - SERVIZIO POLIZIA STRADALE ORDINARIA;15; SERVIZIO POLIZIA STRADALE ORDINARIA
16 - SERVIZIO STRADALE AUTOSTRADE;16; SERVIZIO STRADALE AUTOSTRADE
17 - TRASPORTO PERSONE E MATERIALE LEGGERO;17; TRASPORTO PERSONE E MATERIALE LEGGERO
18 - TRASPORTO PERSONE E MATERIALE PESANTE;18; TRASPORTO PERSONE E MATERIALE PESANTE
19 - TRASPORTO ANIMALI;19; TRASPORTO ANIMALI
20 - SERVIZIO VETTOVAGLIAMENTO E SPACCIO;20; SERVIZIO VETTOVAGLIAMENTO E SPACCIO
21 - SERVIZIO V.E.C.A. E MAGAZZINI VARI;21; SERVIZIO V.E.C.A. E MAGAZZINI VARI
22 - SERVIZI TECNICI R.T.;22; SERVIZI TECNICI R.T.
23 - SERVIZI SOCCORSO STRADALE;23; SERVIZI SOCCORSO STRADALE
24 - ATTIVITA' ADDESTRATIVE;24; ATTIVITA' ADDESTRATIVE
25 - SERVIZIO SOCIALE ASSISTENZA MEDICA;25; SERVIZIO SOCIALE ASSISTENZA MEDICA
26 - SERVIZIO ASSISTENZA SPIRITUALE;26; SERVIZIO ASSISTENZA SPIRITUALE
27 - SERVIZIO RIMESSA;27; SERVIZIO RIMESSA
28 - RISERVA MINISTERIALE LUNGO TERMINE;28; RISERVA MINISTERIALE LUNGO TERMINE
29 - RISERVA MINISTERIALE MEDIO TERMINE;29; RISERVA MINISTERIALE MEDIO TERMINE
30 - RISERVA MINISTERIALE;30; RISERVA MINISTERIALE
31 - RISERVA RIPARAZIONI;31; RISERVA RIPARAZIONI
32 - ATTESA ASSEGNAZIONE O ESAME E PROPOSTE;32; ATTESA ASSEGNAZIONE O ESAME E PROPOSTE
33 - ACCANTONAMENTO PER TUORI USO;33; ACCANTONAMENTO PER TUORI USO
34 - ATTESA ELIMINAZIONE PER LOTTIZZAZIONE;34; ATTESA ELIMINAZIONE PER LOTTIZZAZIONE
35 - SERVIZIO POLIZIA POSTALE;35; SERVIZIO POLIZIA POSTALE
36 - SERVIZIO ATTIVITA' SPORTIVA;36; SERVIZIO ATTIVITA' SPORTIVA
37 - TRASPORTO MATERIALE;37; TRASPORTO MATERIALE
38 - SERVIZIO SALVATAGGIO A MARE;38; SERVIZIO SALVATAGGIO A MARE
39 - SERVIZIO ANTI BORSEGGIO;39; SERVIZIO ANTI BORSEGGIO
40 - SERVIZIO POLIZIA FEMMINILE;40; SERVIZIO POLIZIA FEMMINILE
41 - ARTIFICIERI;41; ARTIFICIERI
42 - TRASPORTO CARBURANTE;42; TRASPORTO CARBURANTE
43 - RAPPRESENTANZA ALTRE AMMINISTRAZIONI;43; RAPPRESENTANZA ALTRE AMMINISTRAZIONI
44 - ATTESA ELABORAZIONE;44; ATTESA ELABORAZIONE
45 - ANTIDROGA POLIZIA DI STATO;45; ANTIDROGA POLIZIA DI STATO
46 - VEICOLI A CONSUMAZIONE;46; VEICOLI A CONSUMAZIONE
47 - ANTIDROGA DA AUTORITA' GIUDIZIARIA;47; ANTIDROGA DA AUTORITA' GIUDIZIARIA
48 - AUTOMEZZO IN LEASING;48; AUTOMEZZO IN LEASING
49 - POLIZIA POSTALE;49; POLIZIA POSTALE
50 - POLIZIA SCIENTIFICA;50; POLIZIA SCIENTIFICA
51 - TRASPORTO AUTO;51; TRASPORTO AUTO
52 - D.I.A. CAPITOLO 2790;52; D.I.A. CAPITOLO 2790
53 - VIOLAZIONE C.S. GIUDIZIALE CUSTODIA;53; VIOLAZIONE C.S. GIUDIZIALE CUSTODIA
54 - COLLAUDATO DA ASSEGNARE;54; COLLAUDATO DA ASSEGNARE
55 - IMMIGRAZIONE GIUDIZIALE CUSTODIA;55; IMMIGRAZIONE GIUDIZIALE CUSTODIA
56 - VEICOLI STORICI;56; VEICOLI STORICI
57 - CONTRABBANDO GIUDIZIALE CUSTODIA;57; CONTRABBANDO GIUDIZIALE CUSTODIA
58 - RISERVATO;58; RISERVATO
59 - D.C.S.A.;59; D.C.S.A.
60 - TARGA PROVA;60; TARGA PROVA
61 - POSTI FISSI;61; POSTI FISSI
62 - REPARTO POLIZIA STRADALE ORDINARIA A.C.A.;62; REPARTO POLIZIA STRADALE ORDINARIA A.C.A.
63 - REPARTO FIAMME ORO;63; REPARTO FIAMME ORO
64 - CINOFILI;64; CINOFILI
