ENTE ASSEGNATARIO;SEZIONE;CASA COSTRUTTRICE;MODELLO;TG POL.;TG CIVILE;TG ORIGINALE;COLORE;Tetra;Telepass;Telepass Seriale;Tipologia di Mezzo; Fuel Card ;ISSI;PROPRIETA;CODICE IMPIEGO;Alimentazione;CODICE PAN Fuel Card IP;CODICE PAN Fuel Card Q8;Conto;Ente;TELAIO
D.I.G.O.S.;1^ e 2^ Sezione;Subaru;XV 2.0 Comfort;C0443;FB*322*SP;;Grigio Chiaro Met.;???;(t);642117568;(Auto Civili);SI;3010178;MINISTERO INT.;06 - SERVIZI INFO-INVESTIGATIVO;Benzina;123456789;987654321;110;181110;JF1GP7LA3FG232482
D.I.G.O.S.;1^ e 2^ Sezione;Jeep;Renegade 2.0;C0924;FL*725*PA;;Glacier;???;(t);639290881;(Auto Civili);SI;3010235;MINISTERO INT.;06 - SERVIZI INFO-INVESTIGATIVO;Gasolio;123456790;987654322;110;181120;1C4BU0000HPF15677
UFFICIO PREVENZIONE GENERALE;REPARTO ARTIFICIERI;Volkswagen;Crafter;M6640;;;ISTITUTO;???;(t);773252853;(Mezzo Speciale);SI;3010107;MINISTERO INT.;41 - ARTIFICIERI;Gasolio;123456791;987654323;;;WV1ZZZSYZM9010005
UFFICIO PREVENZIONE GENERALE;REPARTO ARTIFICIERI;Ford;Range 2.0 XLT;R0530;;;ISTITUTO;???;(t);639264597;(Mezzo Speciale);;3010876;MINISTERO INT.;41 - ARTIFICIERI;Gasolio;123456792;987654324;;;
U.T.L.P.;AUTOMEZZI PER TRASPORTO PERSONALE;Renault;Master VP 2.3;C0584;FD*853*ZN;;Grigio Chiaro Met.;???;(t);644276644;(Trasp. Person. 9 post. Civile );SI;3010272;MINISTERO INT.;72 - TRASPORTO PERSONE;Gasolio;123456793;987654325;130;181120;VF1MLJ2SC53364332
U.T.L.P.;AUTOMEZZI PER TRASPORTO PERSONALE;Iveco;A100 E 21;E0075;;;ISTITUTO;;(t);25140625;(Trasp. Person. 35 post. Istit.);SI;;MINISTERO INT.;72 - TRASPORTO PERSONE;Gasolio;123456794;987654326;180;181120;2330674
GABINETTO INTERREGIONALE POLIZIA SCIENTIFICA;;Subaru;Forester 4x4 2.0;C1418;FX*196*GX;;Bianco Met.;???;(t);827944471;(Auto Civili);SI;3010501;MINISTERO INT.;06 - SERVIZI INFO-INVESTIGATIVO;Gasolio;123456795;987654327;110;181000;JF1SJDLZ3JG387944
GABINETTO INTERREGIONALE POLIZIA SCIENTIFICA;;Subaru;Forester 4x4 2.0;C1420;FX*198*GX;;Bianco Met.;???;(t);827965377;(Auto Civili);SI;3010383;MINISTERO INT.;06 - SERVIZI INFO-INVESTIGATIVO;Gasolio;123456796;987654328;;;JF1SJDLZ3JG388069
AUTOVETTURE DI RISERVA;;Fiat;Tipo 1.6 Mjet;M6532;;;ISTITUTO;???;(t);285863114;(Auto Istituto);SI;3010506;MINISTERO INT.;71 - ATTIVITA' ORDINARIE;Gasolio;123456797;987654329;110;181000;ZFACF7AS9M6U66492
AUTOVETTURE DI RISERVA;;Fiat;Tipo 1.6 Mjet;M6579;;;ISTITUTO;???;;;(Auto Istituto);SI;3010156;MINISTERO INT.;71 - ATTIVITA' ORDINARIE;Gasolio;123456798;987654330;110;181000;ZFACF7AS9M6U69375
REPARTO PREVENZIONE CRIMINE;;Jeep;Renegade 2.0 Mjet;N5896;;FR*189*NY;ISTITUTO;???;(t);999779531;(Auto Istituto);SI;3010634;Noleggio LEASYS;07 - SERVIZIO CONTROLLO DEL TERRITORIO;Gasolio;123456799;987654331;;;1C4BU0000JPJ04352
REPARTO PREVENZIONE CRIMINE;;Jeep;Renegade 2.0 Mjet;N5897;;FR*190*NY;ISTITUTO;???;(t);608675757;(Auto Istituto);SI;3010558;Noleggio LEASYS;07 - SERVIZIO CONTROLLO DEL TERRITORIO;Gasolio;123456800;987654332;;;1C4BU0000JPJ04355
COMPARTIMENTO POLIZIA FERROVIARIA;;Opel;Corsa 1.2;N2288;GS*118*YJ;GS*445*LW;Karbon Black;???;(t);778973990;(Auto Civili);SI;3010601;Noleggio ALD;06 - SERVIZI INFO-INVESTIGATIVO;Benzina;123456801;987654333;;;
COMPARTIMENTO POLIZIA FERROVIARIA;;Opel;Corsa 1.2;N2289;GS*117*YJ;GS*519*LT;Karbon Black;???;(t);647985902;(Auto Civili);SI;3010602;Noleggio ALD;06 - SERVIZI INFO-INVESTIGATIVO;Benzina;123456802;987654334;;;
