Targa;Km
N2289;3797
N6106;1915
N6105;18312
N5960;165457
N5898;177371
N5897;148176
N5896;159224
N5791;38548
N5788;18853
N5674;33492
N5673;52149
N5672;83904
N5671;42988
N5668;70861
N2423;374
N2367;19783
N2368;12967
N2289;3797
N2288;12164
N1926;17930
N1925;7442
N1653;93244
N1651;133688
N1650;71994
N1649;105338
N1648;75212
N1647;82737
N1646;108260
N1643;48127
N1645;121447
N1644;111629
N1406;0
N1402;70219
N1237;97408
N1152;122075
N1153;139057
N1139;87160
N1102;46818
N0926;87475
N0808;115419
N0807;71377
N0491;14970
N0490;55429
M9760;28327
N0141;117964
M9759;26371
M9710;8451
M9709;7646
M9671;24006
M9670;27287
M9669;24307
M9587;2227
M9586;2116
M9585;1969
M9454;16471
M9453;49535
M9452;8423
M9448;6947
M9330;41943
M9329;39238
M9261;3211
M9328;27112
M9260;27259
M9259;9350
M9258;11691
M9257;3386
M9183;18957
M9182;5977
M9124;8826
M9094;13136
M8989;5925
M8982;3786
M8983;669
M8808;40164
M8807;44357
M8771;47200
M8772;4820
M8691;40266
M8692;45464
M8769;23384
M8770;13678
M8564;15507
M8565;27700
M8534;31042
M8435;22440
M8533;18745
M8532;19867
M8531;36849
M8313;49513
M8314;16101
M8315;36538
M8374;28759
M8433;52742
M8434;32295
M8244;60515
M8245;52602
M8215;37785
M8206;35862
M8204;29551
M8205;49994
M8203;55749
M8031;57012
M8202;56423
M8030;58530
M8029;67091
M7981;63866
M7940;2987
M7974;20348
M7939;13184
M7937;32699
M7850;19350
M7849;46744
M7848;22016
M7823;35951
M7801;26315
M7800;24326
M7663;55142
M7536;13430
M7288;77069
M7289;21233
M7329;48161
M7330;67402
M7492;39339
M6911;60768
M6984;53717
M7036;67346
M7037;70802
M7038;72832
M7130;60890
M7131;91587
M7286;93921
M7287;55935
M6910;75695
M6868;37521
M6781;28461
M6777;21690
M6732;22215
M6731;44918
M6640;7882
M6631;57637
M6579;39561
M6578;5295
M6532;16175
M6530;38934
M6531;36409
M6291;22300
M5711;105030
M6176;112145
M5707;100051
M5708;111055
M5709;96322
M5710;108180
M5515;81952
M5516;82303
M5514;111576
M5513;118581
M5512;169262
M5511;100496
M5510;109694
M5509;117957
M5508;101549
M4600;67901
M5050;25310
M5507;72350
M5095;23125
M4569;137256
M4568;83679
M4501;162234
M4500;157885
M4499;148505
M4497;152661
M4498;134176
M4436;47937
M4430;97956
M4412;108968
M4411;83508
M4402;123185
M4408;26954
M4357;107309
M4315;49941
M4312;76931
M4021;138086
M4022;1001313
M4171;119087
M4173;133301
M4175;111376
M4193;26943
M4195;126977
M4311;25152
M3971;112995
M3920;115292
M3919;121054
M3869;163053
M3870;141606
M3716;31609
M3687;18475
M3206;51874
M3177;229691
M3178;102064
M3094;203690
M3176;70670
M3091;197577
M2699;178061
M2698;169628
M2652;62447
M2634;43541
M2601;63631
M2288;188432
M2248;207825
M2247;167985
M2246;191365
M2245;215288
M2219;23200
M2244;48174
M1934;212378
M1465;112187
M1466;68174
M1476;130807
M1464;131557
M1462;126158
M0641;115422
M0642;109427
M0643;78424
M0947;218469
M1045;64349
M1046;141727
M1460;69536
M1461;115318
M0640;99581
M0639;147898
L1361;162546
L1479;45914
L1488;54993
L3606;7954
M0501;90948
M0637;68298
M0638;75279
H9952;90047
H9998;279372
H9589;136872
H9744;44303
H9893;105474
H9894;163140
H9929;58395
H9536;188389
H9575;85194
H9535;182237
H9532;146904
H9533;153469
H9530;188252
H9531;190435
H9143;143824
H9247;119536
H9142;158157
H9141;166580
H9073;180280
H9140;172644
H9070;165609
H9051;176777
H9003;166542
H8957;176786
H9001;180023
H8430;110258
H8945;17753
H8427;211686
H8324;66973
H8425;174236
H8323;50468
H8268;186609
H8275;131177
H7937;108943
H7882;169419
H7651;152233
H7615;165312
H7490;74127
H7480;145174
H7262;116451
H7293;147801
H7357;192475
H7450;167000
H7460;117810
H7134;332586
H6406;124422
H6448;85664
H6479;111519
H6563;104035
H6670;174039
H6671;108974
H6672;184889
H6984;133878
H6695;125883
H6383;146182
H6382;123453
H6364;88657
H6234;202039
H5574;77289
H6208;117369
H5271;65566
H5339;175818
H5340;147320
H5341;179314
H5342;173638
H5402;94803
H4531;100194
H5213;106273
H5195;127406
H4979;150485
H4532;95071
H4530;102199
H4529;89239
H4003;95877
H3985;155207
H3880;172686
H3860;157310
H3138;128247
H2986;155540
H3033;141676
H3097;106006
H3807;159826
H3444;11601
H3402;128262
H3206;105265
H3140;149470
H3139;143840
H2229;128495
H2894;153212
H2975;190051
H2122;117106
H2002;170048
H1504;97242
H1766;156375
H2001;97463
H1476;171194
H1478;144520
H1479;173125
H1302;128058
H1473;212003
H1303;154661
H1264;148430
H0523;121040
H0522;138474
H0513;157568
H0492;170261
H0491;188497
H0486;150894
G3829;369
G9037;0
G9096;0
G9149;0
G9152;0
H0065;203644
H0154;190443
H0257;178915
H0406;185433
H0408;138683
G3622;802
G3486;8972
G3485;9437
G3463;10197
G3462;12402
G3440;9431
G3439;13490
G3287;26760
G3273;27223
G3080;4160
G3050;5261
G3013;11266
G3012;5729
G3004;10559
G3003;10595
G2969;6925
G2880;5059
G2968;5471
G2843;32960
G2841;38217
G2842;27725
G2840;59241
G2701;27776
G2729;27778
G2696;9877
G2530;4610
G2531;52106
G2529;57301
G2344;22649
G2528;66718
G1843;11713
G1918;12560
G1842;13073
G1841;14584
G1840;12549
F9989;100253
F9828;38415
F6863;121208
F6864;162267
F7261;172214
F7263;172585
F7265;88965
F7266;146455
F7267;84788
F8398;109843
F4420;139397
F4443;171267
F7339;145431
F6793;183502
F6552;129755
F5503;117426
F4069;49645
F3602;162571
F3604;120360
F3094;97545
F3073;151267
F2107;146706
F1345;114064
F1011;125039
F0780;194347
F0791;68409
E8519;115560
E7342;161735
E6910;124980
E7110;170843
E7112;106421
E6778;55891
E6898;45913
E0075;94183
D6303;65998
D1494;7565
D1439;7993
C6495;3320
C6521;0
C6730;0
C6380;3309
C6379;1523
C6378;949
C6158;70750
C6325;15698
C6142;85637
C6156;8477
C6157;71374
C6141;115215
C6115;2925
C6043;0
C6042;5218
C6041;0
C6040;0
C6039;0
C5900;0
C5749;980
C5750;257
C5899;0
C5748;232
C5747;8
C5650;0
C5649;13210
C5575;0
C5573;17266
C5490;2636
C5447;6813
C5443;27375
C5442;4614
C5252;15936
C5251;20775
C5194;13044
C5193;13356
C5192;21435
C5094;18877
C5093;88463
C5091;89396
C5090;42585
C5089;81617
C5076;7704
C4947;29629
C4880;6343
C4798;4111
C4756;10407
C4713;7798
C4691;10256
C4692;15795
C4693;12686
C4697;11710
C4698;16305
C4699;10890
C4399;23022
C4688;14091
C4676;153484
C4675;6713
C4674;10013
C4550;22618
C4434;35885
C4365;62463
C4152;93466
C4282;17318
C4360;36508
C4352;22955
C4351;41385
C4339;51452
C4309;122219
C4289;96695
C4284;34633
C3920;51356
C4150;99466
C4151;101215
C3878;13993
C3904;52016
C3800;41207
C3568;30092
C3689;16110
C3690;29482
C3692;23418
C3693;12500
C3694;26114
C3798;30755
C3799;43126
C3521;43632
C3549;65404
C3468;29494
C3520;34010
C3458;30200
C3459;31082
C3460;31895
C3457;63466
C3359;85610
C3360;80363
C3357;71544
C3358;96648
C3283;100212
C3282;96398
C3238;26290
C3242;56987
C3087;10765
C3089;28283
C3241;73726
C3159;27840
C3090;38370
C3069;62595
C3010;17354
C2782;34168
C2753;63043
C2713;67128
C2699;23393
C2690;30048
C2689;30574
C2688;45618
C2626;54678
C2403;73060
C2621;63563
C2575;60550
C2462;112527
C2461;67957
C2460;49043
C2459;95244
C2388;160374
C2283;23578
C2387;132756
C2018;57295
C2063;81113
C2064;46606
C2133;67879
C2199;85138
C2134;38460
C2016;57107
C2017;51678
C2015;71898
C2014;88828
C1830;39436
C2005;28360
C1826;31953
C1828;38417
C1827;28624
C1825;28551
C1822;28502
C1740;189141
C1717;100420
C1716;102503
C1492;49089
C1511;71514
C1420;125520
C1418;126779
C1379;35397
C1354;78382
C1280;171288
C1248;66374
C1245;128576
C1238;245582
C1226;92293
C1170;84354
C1150;83804
C1084;167991
C1045;70820
C1082;176004
C1003;172273
C0924;74295
C0989;147185
C0918;129765
C0877;225244
C0844;176033
C0826;254087
C0820;155063
C0825;122585
C0818;184442
C0807;139438
C0808;194731
C0607;117205
C0670;204729
C0743;190000
C0584;176399
C0754;100651
C0138;186379
C0191;114452
C0576;106406
C0577;129218
C0549;206075
C0539;240350
C0522;110501
C0443;166239
C0446;127733
C0383;183253
C0398;117203
C0442;70711
C0306;130691
C0382;218131
C0074;79114
C0305;113275
C0107;92571
C0099;155565
B5781;142864
C0065;203928
75471;19338
A5085;62367
90729;0
20779;0
0022D;0
0021D;0
N6107;2227
N6108;11061
N6110;866
N6203;10946
N6204;3490
N6205;0
N6206;6613
N6317;2219
R0495;88
R0530;3340
R0531;1601
R0532;56
